A, 1, 5, -0.03098, 51.53657, -1
B, 3, 4, -0.02554, 51.53833, -1
C, 5, 6, -0.02448, 51.53721, -1
D, 7, 8, -0.02415, 51.5445, -1
E, 9, 10, -0.02277, 51.54439, -1
F, 10, 9, -0.02204, 51.54735, -1
G, 8, 7, -0.02201, 51.54739, -1
H, 6, 5, -0.02185, 51.54525, -1
I, 4, 3, -0.02234, 51.53328, -1
J, 2, 1, -0.02206, 51.53948, -1
K, 15, 5, -0.02052, 51.54653, -1
L, 5, 15, -0.02025, 51.54472, -1
M, 3, 6, -0.01921, 51.54262, -1
N, 1, 10, -0.01725, 51.53934, -1
O, 10, 10, -0.01561, 51.53862, -1
P, 20, 20, -0.01273, 51.54337, -1
Q, 15, 3, -0.01272, 51.54202, -1
R, 30, 12, -0.01216, 51.5407, -1
S, 21, 30, -0.01078, 51.54023, -1
