A, 1, 5, -7.5571511194, 49.7668526592, -1
B, 3, 4, -7.5571224515, 49.7668450373, -1
C, 5, 6, -7.5570968635, 49.7668642709, -1
D, 7, 8, -7.5570712754, 49.7668835044, -1
E, 9, 10, -7.5570456874, 49.7669027380, -1
F, 10, 9, -7.5570308401, 49.7668944511, -1
G, 8, 7, -7.5570564282, 49.7668752176, -1
H, 6, 5, -7.5570820163, 49.7668559840, -1
I, 4, 3, -7.5571076043, 49.7668367504, -1
J, 2, 1, -7.5571331923, 49.7668175169, -1
K, 15, 5, -7.5569576306, 49.7668619685, -1
L, 5, 15, -7.5571061030, 49.7669448374, -1
M, 3, 6, -7.5571245047, 49.7668629410, -1
N, 1, 10, -7.5571562525, 49.7668974184, -1
O, 10, 10, -7.5570318667, 49.7669034029, -1
P, 20, 20, -7.5569039261, 49.7669995706, -1
Q, 15, 3, -7.5569555775, 49.7668440648, -1
R, 30, 12, -7.5567575070, 49.7669346051, -1
S, 21, 30, -7.5569003712, 49.7670897539, -1
