A, 536660, 183800, -0.03098, 51.53657, -1
B, 537032, 184006, -0.02554, 51.53833, -1
C, 537109, 183884, -0.02448, 51.53721, -1
D, 537110, 184695, -0.02415, 51.5445, -1
E, 537206, 184685, -0.02277, 51.54439, -1
F, 537248, 185016, -0.02204, 51.54735, -1
G, 537250, 185020, -0.02201, 51.54739, -1
H, 537267, 184783, -0.02185, 51.54525, -1
I, 537269, 183451, -0.02234, 51.53328, -1
J, 537270, 184140, -0.02206, 51.53948, -1
K, 537356, 184927, -0.02052, 51.54653, -1
L, 537380, 184727, -0.02025, 51.54472, -1
M, 537458, 184495, -0.01921, 51.54262, -1
N, 537604, 184134, -0.01725, 51.53934, -1
O, 537720, 184057, -0.01561, 51.53862, -1
P, 537905, 184591, -0.01273, 51.54337, -1
Q, 537910, 184441, -0.01272, 51.54202, -1
R, 537953, 184295, -0.01216, 51.5407, -1
S, 538050, 184245, -0.01078, 51.54023, -1
